id;
15200179;0.0000000
16001222;0.0000000
16001338;0.0000000
16001343;0.0166667
39400100;0.0166667
41000071;0.8333333
41000072;0.8833333
41000127;0.2333333
41000130;0.5000000
41000146;0.4833333
41000147;0.1166667
41000262;0.4166667
41000263;0.5166667
41000264;0.5166667
42000229;0.3500000
42000230;0.6333333
42000871;0.0000000
42002361;0.0000000
42002365;0.6666667
43002841;0.0166667
43005299;0.0000000
44000001;0.9333333
44040025;0.5500000
44040026;0.6833333
44102160;0.9333333
45201339;0.6833333
45300525;0.3000000
45300528;0.5333333
45999999;0.0000000
46500146;0.1833333
47420040;0.0000000
47420059;0.0000000
47420063;0.0166667
47520151;0.0000000
47610020;0.0166667
48130094;0.8166667
49000202;0.0000000
49100124;0.0000000
49200003;0.1333333
49200010;0.2666667
49200026;0.0500000
49306003;0.9333333
50040003;0.0000000
50220112;0.0000000
52000130;0.0000000
54110162;0.6666667
54120038;0.0000000
55105322;0.0000000
55200069;0.0000000
56000003;0.5000000
56000123;0.0000000
56000126;0.0000000
56000141;0.0000000
56000253;0.0000000
56000458;0.0000000
56000473;0.2666667
56000526;0.0000000
56000534;0.3666667
56000646;0.0166667
56009119;0.0000000
57110049;0.0000000
57123042;0.1333333
57400009;0.0000000
57410012;0.6333333
57420122;0.0000000
57420135;0.3000000
58140011;0.3333333
58150041;0.0000000
58150065;0.3500000
58424501;0.0000000
60100032;0.8000000
60100047;0.0000000
60212663;0.0000000
60350130;0.6500000
61120688;0.0000000
61120957;0.0000000
62110038;0.8166667
62310010;0.0500000
63210115;0.1333333
65130079;0.0000000
65130081;0.0500000
65130082;0.0500000
65130084;0.0333333
65130095;0.0166667
65130096;0.1500000
68110172;0.0333333
68110177;0.0166667
68110179;0.0333333
68110184;0.0000000
68120126;0.0000000
68120131;0.0000000
68120146;0.0166667
70000004;0.0500000
76000175;0.0000000
76000297;0.0000000
76000298;0.3000000
76000299;0.0000000
76000309;0.3666667
76000310;0.2333333
76000358;0.0166667
76300012;0.7500000
76300035;0.6333333
76310087;0.8333333
76320009;0.0333333
76320054;0.5333333
76320106;0.1166667
76320115;0.0166667
76320185;0.2833333
76320186;0.0000000
76320211;0.0666667
76325013;0.4833333
76330006;0.6166667
76500019;0.0166667
76500100;0.4166667
76500150;0.4500000
76500650;0.0166667
76611010;0.0000000
77000557;0.1666667
77000568;0.4666667
77000781;0.4000000
77000784;0.0166667
77000785;0.1166667
77000791;0.0666667
77000793;0.1666667
77000837;0.0333333
77001032;0.0500000
78000519;0.0000000
78000603;0.0000000
78000638;0.0000000
78000762;0.0000000
78000942;0.0000000
78001287;0.0000000
78001289;0.0000000
78001308;0.0166667
78001376;0.9666667
78001377;0.9166667
78001378;0.0000000
78001379;0.0000000
78001380;0.0000000
78001381;0.0000000
78001554;0.0000000
78008652;0.0166667
78310023;0.0000000
78310026;0.1000000
78310066;0.0166667
78310068;0.0000000
78310071;0.0166667
78310073;0.2000000
78310074;0.1166667
78320004;0.0000000
78320007;0.1000000
78320009;0.1000000
78320010;0.4333333
78320013;0.5166667
78320019;0.8833333
78320020;0.1500000
78320022;0.0333333
78320028;0.0333333
78320029;0.0500000
78320030;0.0000000
78320031;0.0333333
78320032;0.1833333
78320033;0.0333333
78320039;0.0000000
78320146;0.0000000
78320148;0.0000000
78320149;0.0166667
78321036;0.0000000
