ID
1119579;1000;Y;15;Аксессуары;0;Раздел- каталог;;;;off;;;;;/upload/iblock/331/331df38fc55656c3bf000b9871b1fba5.jpg
1119795;1008;Y;6104;Медианосители;1119579;Раздел- каталог;;;;off;;;;;
1120672;1009;Y;3820;CD;1119795;Товарный раздел;1740;;;off;;;;;
1120675;1012;Y;3830;DVD;1119795;Раздел- каталог;;;;off;;;;;
1121490;1013;Y;6600;DVD+R/RW;1120675;Товарный раздел;2013;;;off;;;;;
1121493;1014;Y;6610;DVD-R/RW;1120675;Товарный раздел;2014;;;off;;;;;
1121496;1015;Y;6620;DVD-RAM;1120675;Товарный раздел;2015;;;off;;;;;
1120678;1016;Y;3840;Видеокассеты;1119795;Раздел- каталог;;;;off;;;;;
1121499;1017;Y;6630;Видеокассеты VHS;1120678;Товарный раздел;2016;;;;;;;;
1121502;1018;Y;6640;Видеокассеты miniDV;1120678;Товарный раздел;2017;;;off;;;;;
1121505;1019;Y;6650;Видеокассеты Video8;1120678;Товарный раздел;2018;;;;;;;;
1120681;1020;Y;3850;Аудиокассеты;1119795;Товарный раздел;1743;;;;;;;;
102003866;102003866;Y;4010;Аксессуары для мультиварок;1119612;Товарный раздел;18418;;;off;;;;;
102019822;102019822;Y;6104;Аксессуары для мультиварок;1120474;Раздел-ссылка;;102003866;;off;;;;;
1120693;1021;Y;3890;Чистящие кассеты и средства;1119795;Товарный раздел;1747;;;off;;;;;
1119798;1022;Y;6105;Элементы питания;1119579;Раздел- каталог;;;;off;;;;;
1120696;1023;Y;3900;Аккумуляторы;1119798;Товарный раздел;1748;;;off;;;;;
102336710;102336710;N;6115;Ударные скидки;0;Раздел- каталог;;;;off;;Y;;;
102366947;102366947;N;501;Телевизоры, аудио и видео;102336710;Раздел- каталог;;;;off;;Y;;;
1120699;1024;Y;3910;Батарейки;1119798;Товарный раздел;1749;;;off;;;;;
1120702;1025;Y;3920;Зарядные устройства;1119798;Товарный раздел;1750;;;off;;;;;
1120705;1026;Y;3930;Сетевые адаптеры;1119798;Товарный раздел;1751;;;off;;;;;
1119600;1027;Y;841;Аксессуары для автотехники;1119579;Раздел- каталог;;;;off;;;;;
1119801;1028;Y;850;Антенны;1119600;Товарный раздел;1448;;;off;;;;;
1119804;1029;Y;870;Кабели/Переходники;1119600;Товарный раздел;1449;;;off;;;;;
1119807;1030;Y;890;Другие автоаксессуары;1119600;Товарный раздел;1450;;;off;;;;;
1119603;1032;Y;120;Аксессуары для телевизоров, аудио, видео;1119579;Раздел- каталог;;;;off;;;;;
1119813;1034;Y;910;Кабели и переходники для аудио;2206630;Товарный раздел;1452;;;off;;;;;
