brand_id;brand_name
5355023;CLEARLINE
5355024;CLIFFORD
5355025;CLIO
5355026;CLOER
5355027;CMOTECH
5355028;COBRA
5355029;CODEGEN
5355030;CODEMASTERS
5355031;COLDMASTER
5355032;COLOR
5355033;COLORVISION
5355034;COLORWAY
5355035;COLUMBIA
5355036;COM EXP
5355037;COMAT
5355038;COMIND
5355039;COMO
5355040;COMPAQ
5355041;COMPEX
5355042;COMPRO
5355043;COMPUTER EXPRESSIONS
5355044;CONRAC
5355045;CONTINENT
5355046;COOLER MASTER
5355047;COOLFORT
5355048;COREL
5355049;CORNING
5355050;CORONET
5355051;CORSAIR
5355052;CORTLAND
5355053;COSONIC
5355054;CP DIGITAL
5355055;CP ДИДЖИТАЛ
5355056;CRAFTMANN
5355057;CRATE
5355058;CREATIVE
5355059;CRISTALL-FIX
5355060;CROWN
5355061;CRUISER
5355062;CRUMPLER
5355063;CTX
5355064;CURVER
5355065;CYBERPOWER
5355066;CYBERSNIPA
5355067;CYCLONE
5355068;CYFRAL
5355069;D-LINK
5355070;DA LITE
5355071;DAEWOO
5355072;DAIKIN
5355073;DALI
5355074;DANTEX
5355075;DARINA
5355076;DATA COPY
5355077;DATEX
5355078;DAXX
5355079;DAYMOON
5355080;DAYTEK
5355081;DBF CREATIVE
5355082;DE LUXE
5355083;DEEPCOOL
5355084;DEFENDER
5355085;DEFORT
5355086;DEJA
5355087;DEKOK
5355088;DELFICS
5355089;DELL
5355090;DELL ARABICA
5355091;DELONGHI
5355092;DELRIN WEDGIE
5355093;DELSEY
5355094;DELTA
5355095;DELTA METAL
5355096;DELUX
5355097;DELUXE
5355098;DENN
5355099;DENON
5355100;DEPO
5355101;DESANY
5355102;DEWALT
5355103;DEX
5355104;DIALEKTIKA
5355105;DIALOG
5355106;DIALON
5355107;DIAMOND
5355108;DICOM
5355109;DICOTA
5355110;DIESEL
5355111;DIETZ
5355112;DIGITAL
5355113;DIGITEX
5355114;DIGITUS
5355115;DIGMA
5355116;DIMANCHE
5355117;DIMPLEX
5355118;DINAMIK
5355119;DINON
5355120;DISCGEAR
5355121;DISNEY
5355122;DJUICE
5355123;DLS
5355124;DOGRULAR
5355125;DOMAL
5355126;DOMOTEC
5355127;DONGLE
5355128;DORI
5355129;DOSIA
5355130;DR OETKER
5355131;DR WEB
5355132;DR.KERN
5355133;DR.KRAFT
5355134;DR.WEB
5355135;DRAGONFLY
5355136;DRAGSTER
5355137;DRAPER
5355138;DRAPER LUMA
5355139;DREAM VISION
5355140;DREFT
5355141;DSA
5355142;DUNA
5355143;DUPONT
5355144;DURABLE
5355145;DURACELL
5355146;DURACRAFT
5355147;DVD GRUPP
5355148;DYNE
5355149;DYSON
5355150;D`ADDARIO
5355151;E
5355152;E-TEN
5355153;EA
5355154;EA2
5355155;EASY ENERGY
5355156;ECO STYLE
5355157;ECOLUX
5355158;ECOSOFT
5355159;ECP
5355160;ED HARDY
5355161;EDIFIER
5355162;EDIMAX
5355163;EIDOS
5355164;EINHELL
5355165;EKSMO
5355166;ELAC
5355167;ELAN
5355168;ELCO
5355169;ELCOM
5355170;ELDORADO
5355171;ELECOM
5355172;ELECTRA
5355173;ELECTROLUX
5355174;ELECTRON
5355175;ELECTRONIC ARTS
5355176;ELENBERG
5355177;ELICA
5355178;ELIKOR
5355179;ELITE
5355180;ELIXIR
5355181;ELNA
5355182;ELSET
5355183;ELTAX
5355184;ELTRON
5355185;EMACHINES
5355186;EMAFYL
5355187;EMI
5355188;EMI DVD
5355189;EMPIRE
5355190;EMTEC
5355191;ENERGIA
5355192;ENERGIZER
5355193;ENERGOLUX
5355194;EPOS
5355195;EPSON
5355196;ERA
5355197;ERARD
5355198;ERC
5355199;ERGO
5355200;ERGOSTATION
5355201;ERICSSON
5355202;ERISSON
5355203;ESET
5355204;ESPO
5355205;ESPRESSO COFFEE
5355206;ESSE
5355207;ETA
5355208;ETALON
5355209;ETO
5355210;EURO-LINE
5355211;EURO-PLUS
5355212;EUROCOOL
5355213;EURODATA
5355214;EUROFON
5355215;EUROGOLD
5355216;EUROLINE
5355217;EUROTEX
5355218;EVEREADY
5355219;EVEREST
5355220;EVERGREEN
5355221;EVG
5355222;EVROMEDIA
5355223;EWT
5355224;EXACUT
5355225;EXCEL
5355226;EXCILON
5355227;EXCIMER
5355228;EXPLAY
5355229;EXQVISIT
5355230;EXTELLSIM
5355231;EZCHOICE
5355232;EZETIL
5355233;FABER
5355234;FABRIANO
5355235;FACK
5355236;FACKELMANN
5355237;FAIRY
5355238;FALCON
5355239;FALCON EYE
5355240;FANTASY
5355241;FARENHEIT
