id;count;ax31
041000071;10.000;0888
041000071;2.000;0777
041000072;10.000;0888
041000127;1.000;0888
041000130;10.000;0888
041000146;8.000;0888
041000146;3.000;0777
041000147;2.000;0888
041000263;2800.000;0090
041000264;500.000;0090
042000229;10.000;0888
042000230;5.000;0888
042002365;16.000;0888
044000001;101.000;0090
044000001;2.000;0777
044000001;10.000;0888
044040025;4.000;0777
044040025;9.000;0888
044040026;1.000;0777
044040026;6.000;0888
044102160;114.000;0090
044102160;10.000;0888
045201339;274.000;0090
045201339;4.000;0777
045201339;10.000;0888
045300525;8.000;0888
045300528;1.000;0888
049306003;10.000;0888
049306003;30.000;0777
049306003;4397.000;0090
050220185;10.000;0888
050220185;1252.000;0090
050220185;2.000;0777
055200094;10.000;0888
055200094;539.000;0090
055200094;4.000;0777
055200097;2.000;0888
057410012;10.000;0888
057410012;2.000;0777
057410012;568.000;0090
058140011;6.000;0777
058140011;10.000;0888
058140011;166.000;0090
060100032;1.000;0777
060100048;10.000;0888
060100048;296.000;0090
060100048;40.000;0777
065130081;28.000;0090
065130081;12.000;0777
065130081;18.000;0888
065130084;13.000;0888
065130084;6.000;0777
065130095;4.000;0090
065130095;14.000;0777
065130095;20.000;0888
065130096;5.000;0888
065130096;13.000;0090
065130096;4.000;0777
068110172;15.000;0888
068110172;45.000;0090
068110172;17.000;0777
068110177;1.000;0888
068110177;7.000;0777
068110179;4.000;0090
068110179;2.000;0888
068110179;5.000;0777
068120146;52.000;0090
071000321;96.000;0090
071000321;2.000;0777
071000323;196.000;0090
071000323;5.000;0777
071000933;110.000;0090
071000933;10.000;0888
071000933;4.000;0777
071000934;10.000;0888
071000934;1.000;0090
071000934;7.000;0777
071001370;2.000;0777
071002275;20.000;0090
071002275;20.000;0777
071002277;10.000;0777
071002285;11.000;0777
071002285;34.000;0090
071002298;17.000;0777
071002622;595.000;0090
071002622;2.000;0777
071002622;10.000;0888
071002637;8.000;0888
071002637;2.000;0777
071003247;5.000;0888
071003247;4.000;0777
071003247;250.000;0090
071004052;10.000;0888
071004052;2.000;0777
071004052;57.000;0090
071004134;6.000;0777
071004137;3.000;0777
071006125;2.000;0777
071006428;5.000;0777
071007406;3.000;0777
071007406;73.000;0090
071007762;1.000;0777
071007762;13.000;0090
071008102;19.000;0888
071008102;21.000;0777
071008102;18.000;0090
071009408;3.000;0777
071009408;35.000;0090
071009659;1.000;0888
071010086;3.000;0777
071010311;28.000;0090
071010311;2.000;0777
071010466;1739.000;0090
071010466;4.000;0777
071010850;877.000;0090
071010850;75.000;0777
071010981;2.000;0777
071011073;110.000;0090
071011073;2.000;0777
071011073;2.000;0888
071011400;7.000;0777
071011400;10.000;0888
071013878;2.000;0777
071013891;2.000;0777
071013891;80.000;0090
071013930;2.000;0777
071013930;167.000;0090
071013931;1.000;0777
071014537;30.000;0888
071014537;2.000;0777
071014537;27.000;0090
071015215;12.000;0777
071015467;3.000;0777
071015467;576.000;0090
071015614;14.000;0888
071015855;17.000;0888
071015855;3.000;0777
071016641;256.000;0090
071016641;6.000;0777
071016641;10.000;0888
071016779;503.000;0090
071016779;50.000;0777
071017000;132.000;0090
071017000;4.000;0777
071017000;30.000;0888
071017456;1.000;0777
071017456;1.000;0888
071017457;6.000;0090
071017457;7.000;0777
071017457;5.000;0888
071017820;2.000;0777
071018689;9.000;0777
071019460;3.000;0777
071020577;36.000;0777
071020577;16.000;0888
071020577;18.000;0090
071020587;1.000;0777
071021855;2.000;0777
071021855;1.000;0090
071022707;6.000;0777
071022751;4.000;0777
071022751;15.000;0888
071022751;159.000;0090
071022911;4.000;0777
071022911;10.000;0888
071022911;151.000;0090
071024405;8.000;0777
071024405;26.000;0090
071024412;91.000;0777
071026125;1.000;0777
071027902;183.000;0777
071028159;10.000;0777
071028419;2.000;0777
071028596;2.000;0777
071028615;30.000;0888
071028615;4.000;0777
071028615;104.000;0090
071029594;1.000;0777
071029602;2.000;0888
071029771;91.000;0090
071029771;7.000;0777
071029771;10.000;0888
071030060;13.000;0090
071030060;28.000;0777
071030061;103.000;0090
071030061;4.000;0777
071030489;2.000;0777
071030823;10.000;0888
071030823;157.000;0090
071030823;20.000;0777
071030903;500.000;0090
071030903;4.000;0777
071030904;3.000;0777
071030963;19.000;0090
071030963;4.000;0777
071031722;5.000;0090
071031722;18.000;0777
071031727;2.000;0777
071031729;4.000;0777
071031797;14.000;0777
071031826;2.000;0777
071031830;6.000;0777
071031880;1.000;0777
071031888;2.000;0777
071031889;3.000;0777
071031891;124.000;0090
071031891;5.000;0777
071031961;2.000;0777
071031963;2.000;0777
071031971;6.000;0777
071031989;19.000;0090
071031989;6.000;0777
071032370;53.000;0777
071032370;122.000;0090
071034589;4.000;0777
071034904;5.000;0888
071034904;4.000;0777
071035173;1.000;0777
071035223;2.000;0888
071035223;19.000;0090
071035223;9.000;0777
071035666;10.000;0888
071035666;45.000;0090
071035666;2.000;0777
071035896;2.000;0888
071035896;4.000;0090
071035896;2.000;0777
071036675;2.000;0888
071036675;40.000;0090
071036675;2.000;0777
071036770;20.000;0888
071036770;3424.000;0090
071036770;14.000;0777
071036771;1028.000;0090
071036771;20.000;0888
071036771;4.000;0777
071036798;1.000;0777
071036798;10.000;0090
071036799;2.000;0777
071036799;40.000;0090
071036800;2.000;0777
071037011;4.000;0777
071037045;8.000;0777
071037292;4.000;0777
071037292;4.000;0090
071037446;3.000;0777
071037659;8.000;0777
071037659;10.000;0888
071037659;197.000;0090
071037661;18.000;0090
071037661;10.000;0888
071037661;2.000;0777
071037945;350.000;0090
071037945;19.000;0777
071038166;20.000;0888
071038167;20.000;0888
071038167;4.000;0777
071038316;3.000;0090
071038316;2.000;0888
071038316;10.000;0777
071038697;7.000;0777
071038697;440.000;0090
071038699;4.000;0777
071038699;23.000;0090
071038700;10.000;0777
071038700;297.000;0090
071038755;3.000;0888
071038758;1.000;0888
071038759;1.000;0777
071038759;20.000;0888
071038891;2.000;0777
071038891;2.000;0888
071038910;2.000;0777
071038920;4.000;0777
071039069;281.000;0090
071039098;34.000;0090
071039098;19.000;0777
071039153;6.000;0777
071039175;2.000;0777
071039258;10.000;0888
071039258;147.000;0090
071039258;8.000;0777
071039259;103.000;0090
071039259;2.000;0777
071039483;10.000;0888
071039483;157.000;0090
071039483;5.000;0777
071040150;4.000;0777
071040150;271.000;0090
071040152;1.000;0777
071040159;5.000;0777
071040159;18.000;0888
071040160;2.000;0777
071040160;10.000;0888
071040180;4.000;0777
071040180;2173.000;0090
071040180;20.000;0888
071040188;14.000;0090
071040188;1.000;0777
071040213;2.000;0777
071040213;14.000;0888
071040214;2.000;0777
071040214;14.000;0888
071040523;3.000;0777
071040538;4.000;0090
071040538;2.000;0777
071040538;30.000;0888
071040540;20.000;0888
071040540;99.000;0090
071040540;4.000;0777
071040563;2.000;0777
071040563;20.000;0888
071040563;57.000;0090
071040564;14.000;0090
071040564;2.000;0777
071040566;2.000;0777
071040566;20.000;0888
071040764;11.000;0888
071040764;7.000;0777
071040764;20.000;0090
071040786;2.000;0777
071040903;20.000;0888
071040903;2.000;0777
071040903;42.000;0090
071040946;1.000;0777
071041112;11.000;0777
071041112;10.000;0888
071041112;68.000;0090
071041113;10.000;0888
071041113;28.000;0090
071041113;6.000;0777
071041114;10.000;0888
071041114;2.000;0777
071041402;5.000;0777
071041402;30.000;0888
071041417;2.000;0777
071041417;1.000;0888
071041739;4.000;0777
071041740;8.000;0090
071041740;2.000;0777
071041741;15.000;0090
071041741;2.000;0777
071041742;4.000;0777
071041743;4.000;0777
071041745;1.000;0777
071041748;2.000;0777
071041748;42.000;0090
071041751;1.000;0777
071041753;2.000;0777
071041753;40.000;0090
071041754;2.000;0777
071041755;2.000;0777
071041755;23.000;0090
071041756;2.000;0777
071041756;53.000;0090
071041758;4.000;0777
071042152;45.000;0777
071042152;29.000;0090
071042152;10.000;0888
071042229;35.000;0090
071042229;10.000;0888
071042229;5.000;0777
071042311;5.000;0777
071042600;10.000;0888
071042600;32.000;0090
071042600;2.000;0777
071042601;4.000;0777
071042601;10.000;0888
071042601;12.000;0090
071042622;10.000;0888
071042622;3.000;0777
071042623;10.000;0888
071042623;4.000;0777
071042623;10.000;0090
071043193;118.000;0090
071043201;205.000;0090
071043201;4.000;0777
071043201;10.000;0888
071043515;3.000;0777
071043640;15.000;0777
071043640;29.000;0888
071043872;1.000;0777
071043872;8.000;0888
071043904;4.000;0777
071043907;2.000;0777
071043907;25.000;0888
071043958;2.000;0777
071043967;9.000;0888
071043967;3.000;0777
071043968;4.000;0777
071043968;10.000;0888
071043970;1.000;0888
071043982;2.000;0777
071043982;10.000;0888
071044139;10.000;0888
071044139;267.000;0090
071044139;4.000;0777
071044227;9.000;0888
071044547;4.000;0090
071044547;4.000;0777
071044552;7.000;0888
071044552;16.000;0777
071044552;1.000;0090
071044595;15.000;0777
071046665;8.000;0888
071047755;4.000;0777
071047755;104.000;0090
071047756;4.000;0777
071047756;69.000;0090
071047759;2.000;0777
071048171;1.000;0090
071048171;20.000;0777
071048172;157.000;0090
071048172;18.000;0777
071048173;14.000;0777
071048321;5.000;0777
071048957;2.000;0777
071048961;3.000;0777
071049074;11.000;0777
071049074;14.000;0090
071049074;10.000;0888
071049286;3.000;0090
071049286;2.000;0777
071049286;1.000;0888
071049470;1.000;0777
071049522;3.000;0777
071049522;3.000;0090
071049522;2.000;0888
071049523;1.000;0777
071049523;1.000;0090
071049523;1.000;0888
071049524;3.000;0777
071049524;1.000;0888
071049840;10.000;0888
071049890;2.000;0777
071050217;3.000;0777
071050218;4.000;0777
071050422;3.000;0777
071050422;6.000;0090
071050422;2.000;0888
071050424;4.000;0777
071050424;4.000;0090
071050424;2.000;0888
071050456;6.000;0777
071050456;354.000;0090
071050456;30.000;0888
071050541;11.000;0777
071050541;1.000;0888
071050714;12.000;0777
071050714;54.000;0090
071050715;8.000;0777
071050715;233.000;0090
071050731;3.000;0777
071050731;10.000;0888
071050777;24.000;0777
071050777;25.000;0888
071050778;4.000;0777
071050778;28.000;0888
071051106;1.000;0777
071051107;2.000;0777
071051177;4.000;0777
071051177;115.000;0090
071051178;301.000;0090
071051178;5.000;0777
071051179;4.000;0777
071051180;11.000;0777
071051180;492.000;0090
071051810;6.000;0888
071052562;2.000;0777
071052562;1.000;0888
071052785;2.000;0777
071052785;10.000;0888
071052871;4.000;0777
071052871;15.000;0888
071052888;2.000;0777
071052888;1.000;0090
071053250;6.000;0777
071053250;10.000;0888
071053250;72.000;0090
071053737;1.000;0888
071053757;2.000;0777
071053757;10.000;0888
071053870;5.000;0777
071053870;10.000;0888
071053892;4.000;0777
071054111;6.000;0777
071054253;4.000;0777
071054253;5.000;0888
